image_fn,label_fn,group
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/576_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/576_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/557_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/557_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/533_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/533_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/299_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/299_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/934_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/934_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/788_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/788_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/663_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/663_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/406_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/406_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/132_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/132_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/633_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/633_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/209_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/209_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/133_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/133_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/89_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/89_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/639_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/639_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/498_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/498_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/348_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/348_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/882_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/882_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/315_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/315_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/296_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/296_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/888_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/888_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/631_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/631_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/880_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/880_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/164_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/164_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/535_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/535_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/474_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/474_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/393_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/393_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/661_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/661_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/855_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/855_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/565_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/565_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/430_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/430_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/975_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/975_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/710_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/710_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/314_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/314_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/708_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/708_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/174_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/174_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/452_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/452_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/545_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/545_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/834_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/834_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/672_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/672_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/130_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/130_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/889_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/889_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/630_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/630_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/448_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/448_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/522_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/522_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/355_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/355_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/178_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/178_label.tif,0
/home/ashelee/Building_classification/City/Jiujiang/input_Jiujiang_7band/354_image.tif,/home/ashelee/Building_classification/City/Jiujiang/label_Jiujiang/354_label.tif,0
